template_code,dish_name,source_page,author,license,license_url,download_url,local_file_name
"DISH_021","红烧鸡翅","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-021.jpg"
"DISH_022","辣子鸡","https://commons.wikimedia.org/wiki/File%3ALa_Zi_Ji_(Chicken_with_Chiles)_(2269517013).jpg","FotoosVanRobin from Netherlands","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/La_Zi_Ji_%28Chicken_with_Chiles%29_%282269517013%29.jpg/960px-La_Zi_Ji_%28Chicken_with_Chiles%29_%282269517013%29.jpg","dish-022.jpg"
"DISH_023","三杯鸡","https://commons.wikimedia.org/wiki/File%3ARed_Columns_sanbeiji.jpg","sanbeiji","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Red_Columns_sanbeiji.jpg/960px-Red_Columns_sanbeiji.jpg","dish-023.jpg"
"DISH_024","葱油鸡","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-024.jpg"
"DISH_025","白切鸡","https://commons.wikimedia.org/wiki/File%3ABeiQieJi-WhiteCutChicken.jpg","Sjschen","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/BeiQieJi-WhiteCutChicken.jpg/960px-BeiQieJi-WhiteCutChicken.jpg","dish-025.jpg"
"DISH_026","红烧排骨","https://commons.wikimedia.org/wiki/File%3AMianjin_hongshao_paigu_2009_03.jpg","Rolfmueller","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mianjin_hongshao_paigu_2009_03.jpg/960px-Mianjin_hongshao_paigu_2009_03.jpg","dish-026.jpg"
"DISH_027","蒜香排骨","https://commons.wikimedia.org/wiki/File%3ASmoked_country_style_pork_ribs.jpg","Dennis Brown","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Smoked_country_style_pork_ribs.jpg/960px-Smoked_country_style_pork_ribs.jpg","dish-027.jpg"
"DISH_028","粉蒸排骨","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-028.jpg"
"DISH_029","梅菜扣肉","https://commons.wikimedia.org/wiki/File%3ACuisine_of_China_0074.JPG","Brücke-Osteuropa","Public domain","","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Cuisine_of_China_0074.JPG/960px-Cuisine_of_China_0074.JPG","dish-029.jpg"
"DISH_030","红烧狮子头","https://commons.wikimedia.org/wiki/File%3ALions_head_meatballs_in_brown_sauce.jpg","Jpatokal","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Lions_head_meatballs_in_brown_sauce.jpg/960px-Lions_head_meatballs_in_brown_sauce.jpg","dish-030.jpg"
